,,,,DEC,JUN,MAR,SEP
Nintendo 3DS (3DS),Nintendo,Europe,2013,949.9999999999992,549.9999999999998,1370.0,660.0000000000001
Nintendo 3DS (3DS),Nintendo,Europe,2014,0.0,439.9999999999995,2180.0000000000014,0.0
Nintendo 3DS (3DS),Nintendo,Europe,2015,529.9999999999993,650.0000000000003,949.9999999999992,210.00000000000085
Nintendo 3DS (3DS),Nintendo,Europe,2016,160.00000000000014,559.9999999999987,720.0000000000007,0.0
Nintendo 3DS (3DS),Nintendo,Europe,2017,1400.000000000002,169.99999999999815,760.0000000000016,199.9999999999993
Nintendo 3DS (3DS),Nintendo,Europe,2018,199.9999999999993,170.0000000000017,1189.9999999999975,0.0
Nintendo 3DS (3DS),Nintendo,Europe,2019,39.99999999999915,0.0,320.0000000000003,0.0
Nintendo 3DS (3DS),Nintendo,Europe,2020,9.99999999999801,30.000000000001137,70.00000000000028,70.00000000000028
Nintendo 3DS (3DS),Nintendo,Japan,2013,1380.000000000001,660.0000000000001,2090.0,789.9999999999991
Nintendo 3DS (3DS),Nintendo,Japan,2014,959.9999999999972,439.9999999999995,1490.0000000000002,470.0000000000006
Nintendo 3DS (3DS),Nintendo,Japan,2015,429.9999999999997,350.0000000000014,1250.0,300.0000000000007
Nintendo 3DS (3DS),Nintendo,Japan,2016,279.9999999999976,300.0000000000007,989.9999999999984,330.0000000000018
Nintendo 3DS (3DS),Nintendo,Japan,2017,589.9999999999999,320.0000000000003,1030.0000000000011,210.00000000000085
Nintendo 3DS (3DS),Nintendo,Japan,2018,109.99999999999945,150.00000000000213,489.9999999999984,79.9999999999983
Nintendo 3DS (3DS),Nintendo,Japan,2019,19.999999999999574,100.00000000000142,120.000000000001,39.99999999999915
Nintendo 3DS (3DS),Nintendo,Japan,2020,19.999999999999574,19.999999999999574,19.999999999999574,10.000000000001563
Nintendo 3DS (3DS),Nintendo,North America,2013,860.0000000000013,580.0000000000001,1410.0000000000002,639.9999999999987
Nintendo 3DS (3DS),Nintendo,North America,2014,580.0000000000001,420.0,2129.999999999999,400.00000000000034
Nintendo 3DS (3DS),Nintendo,North America,2015,500.0,679.9999999999998,1480.0000000000005,260.0000000000016
Nintendo 3DS (3DS),Nintendo,North America,2016,399.9999999999986,440.0000000000013,1029.9999999999975,109.99999999999945
Nintendo 3DS (3DS),Nintendo,North America,2017,619.9999999999975,250.0,1260.0000000000016,280.00000000000114
Nintendo 3DS (3DS),Nintendo,North America,2018,279.9999999999976,460.00000000000085,1320.0000000000002,210.00000000000085
Nintendo 3DS (3DS),Nintendo,North America,2019,79.9999999999983,259.999999999998,630.0000000000025,80.00000000000185
Nintendo 3DS (3DS),Nintendo,North America,2020,70.00000000000028,89.99999999999986,109.99999999999945,350.0000000000014
Nintendo 3DS (3DS),Nintendo,Other,2013,169.99999999999994,70.00000000000006,309.99999999999983,130.0000000000001
Nintendo 3DS (3DS),Nintendo,Other,2014,0.0,210.0,390.0000000000001,0.0
Nintendo 3DS (3DS),Nintendo,Other,2015,110.00000000000033,140.0000000000001,299.99999999999983,49.99999999999982
Nintendo 3DS (3DS),Nintendo,Other,2016,0.0,109.99999999999989,189.99999999999997,0.0
Nintendo 3DS (3DS),Nintendo,Other,2017,60.00000000000006,0.0,0.0,0.0
Nintendo 3DS (3DS),Nintendo,Other,2018,49.99999999999982,40.00000000000004,319.99999999999983,30.00000000000025
Nintendo 3DS (3DS),Nintendo,Other,2019,0.0,0.0,99.99999999999964,0.0
Nintendo 3DS (3DS),Nintendo,Other,2020,0.0,10.000000000000677,0.0,69.9999999999994
Nintendo DS (DS),Nintendo,Europe,2013,0.0,39.99999999999915,250.0,0.0
Nintendo DS (DS),Nintendo,Europe,2014,0.0,0.0,0.0,0.0
Nintendo DS (DS),Nintendo,Europe,2015,0.0,0.0,0.0,0.0
Nintendo DS (DS),Nintendo,Europe,2016,0.0,0.0,0.0,0.0
Nintendo DS (DS),Nintendo,Europe,2017,0.0,0.0,0.0,0.0
Nintendo DS (DS),Nintendo,Europe,2018,0.0,0.0,0.0,0.0
Nintendo DS (DS),Nintendo,Europe,2019,0.0,0.0,0.0,0.0
Nintendo DS (DS),Nintendo,Europe,2020,0.0,0.0,0.0,0.0
Nintendo DS (DS),Nintendo,Japan,2013,0.0,0.0,0.0,0.0
Nintendo DS (DS),Nintendo,Japan,2014,0.0,0.0,0.0,0.0
Nintendo DS (DS),Nintendo,Japan,2015,0.0,0.0,0.0,0.0
Nintendo DS (DS),Nintendo,Japan,2016,0.0,0.0,0.0,0.0
Nintendo DS (DS),Nintendo,Japan,2017,0.0,0.0,0.0,0.0
Nintendo DS (DS),Nintendo,Japan,2018,0.0,0.0,0.0,0.0
Nintendo DS (DS),Nintendo,Japan,2019,0.0,0.0,0.0,0.0
Nintendo DS (DS),Nintendo,Japan,2020,0.0,0.0,0.0,0.0
Nintendo DS (DS),Nintendo,North America,2013,49.99999999999716,170.0000000000017,469.99999999999886,140.00000000000057
Nintendo DS (DS),Nintendo,North America,2014,0.0,0.0,70.00000000000028,0.0
Nintendo DS (DS),Nintendo,North America,2015,0.0,0.0,0.0,0.0
Nintendo DS (DS),Nintendo,North America,2016,0.0,0.0,0.0,0.0
Nintendo DS (DS),Nintendo,North America,2017,20.000000000003126,0.0,0.0,0.0
Nintendo DS (DS),Nintendo,North America,2018,0.0,0.0,0.0,0.0
Nintendo DS (DS),Nintendo,North America,2019,0.0,0.0,0.0,0.0
Nintendo DS (DS),Nintendo,North America,2020,0.0,0.0,0.0,0.0
Nintendo DS (DS),Nintendo,Other,2013,0.0,0.0,0.0,0.0
Nintendo DS (DS),Nintendo,Other,2014,0.0,0.0,0.0,0.0
Nintendo DS (DS),Nintendo,Other,2015,0.0,0.0,0.0,0.0
Nintendo DS (DS),Nintendo,Other,2016,0.0,0.0,0.0,0.0
Nintendo DS (DS),Nintendo,Other,2017,0.0,0.0,0.0,0.0
Nintendo DS (DS),Nintendo,Other,2018,0.0,0.0,0.0,0.0
Nintendo DS (DS),Nintendo,Other,2019,0.0,0.0,0.0,0.0
Nintendo DS (DS),Nintendo,Other,2020,0.0,0.0,0.0,0.0
Nintendo Switch (NS),Nintendo,Europe,2013,0.0,0.0,0.0,0.0
