,,当年,当年,当年,当年,当年,当年,当年,当年,当年,当年,当年,当年,当日,当日,当日,当日,当日,当日,当日,当日,当日,当日,当日,当日,当月,当月,当月,当月,当月,当月,当月,当月,当月,当月,当月,当月
,,保费合计,保费合计,保费合计,保费合计,保费合计,保费合计,同比增速,同比增速,同比增速,同比增速,同比增速,同比增速,保费合计,保费合计,保费合计,保费合计,保费合计,保费合计,同比增速,同比增速,同比增速,同比增速,同比增速,同比增速,保费合计,保费合计,保费合计,保费合计,保费合计,保费合计,同比增速,同比增速,同比增速,同比增速,同比增速,同比增速
,,大个险,大个险,大个险,非大个险,非大个险,非大个险,大个险,大个险,大个险,非大个险,非大个险,非大个险,大个险,大个险,大个险,非大个险,非大个险,非大个险,大个险,大个险,大个险,非大个险,非大个险,非大个险,大个险,大个险,大个险,非大个险,非大个险,非大个险,大个险,大个险,大个险,非大个险,非大个险,非大个险
,,个险渠道,互动渠道,服务营销渠道,团险渠道,电销渠道,银邮渠道,个险渠道,互动渠道,服务营销渠道,团险渠道,电销渠道,银邮渠道,个险渠道,互动渠道,服务营销渠道,团险渠道,电销渠道,银邮渠道,个险渠道,互动渠道,服务营销渠道,团险渠道,电销渠道,银邮渠道,个险渠道,互动渠道,服务营销渠道,团险渠道,电销渠道,银邮渠道,个险渠道,互动渠道,服务营销渠道,团险渠道,电销渠道,银邮渠道
北京市分公司,中短存续期产品,13.9062,10.12,158.5518,106.866589,0,22045.2479,-0.804953925,-0.993985572,-0.265059504,-0.634875446,0,-0.610078279,0,0,1.32,0,0,0,0,0,0,-1,0,0,0,0,1.32,0,0,0,0,0,0,-1,0,0
北京市分公司,其他长险趸交,1082.406012,2872.688661,2068.916265,16752.00767,14.2104,993.357836,-0.164854158,-0.543588713,1.730660489,-0.114190599,0.149327488,-0.610666306,3.844362,0.645716,12.517494,30.838422,0,0.797316,0.788557844,321.858,4.003395155,-0.327495753,0,-0.939953684,3.844362,0.645716,12.517494,30.838422,0,0.797316,0.788557844,321.858,4.003395155,-0.327495753,0,-0.939953684
北京市分公司,短期险,399.979004,2205.525735,95.697635,29030.56014,131.890186,11.515554,1.066813363,-0.27245949,0.695235996,1.161601529,-0.429848235,-0.715200808,28.1847,13.806734,3.617481,27.845577,2.4172,0.2282,7.686517401,4.473256954,10.48771356,2.676569101,0.67303433,0.616147309,28.1847,13.806734,3.617481,27.845577,2.4172,0.2282,7.686517401,4.473256954,10.48771356,2.676569101,0.67303433,0.616147309
北京市分公司,长险趸交,1096.312212,2882.808661,2227.468065,16858.87426,14.2104,23038.60574,-0.198230165,-0.638596302,1.28834801,-0.122126191,0.149327488,-0.61010367,3.844362,0.645716,13.837494,30.838422,0,0.797316,0.788557844,321.858,4.531015269,-0.346312603,0,-0.939953684,3.844362,0.645716,13.837494,30.838422,0,0.797316,0.788557844,321.858,4.531015269,-0.346312603,0,-0.939953684
安徽省分公司,中短存续期产品,19.1444,7.469,22.297,5.61,0,37534.7706,-0.782523398,-0.698436667,-0.856677202,-0.714605484,0,-0.605841165,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0
安徽省分公司,其他长险趸交,603.676919,102.98872,492.01184,654.026175,0,151.29804,-0.259155806,-0.798401529,0.381615445,0.067012851,0,-0.69082482,7.63815,0.002,6.06809,0.440145,0,1.75982,-0.190552391,0,0.297917758,-0.446260977,0,1.063675595,7.63815,0.002,6.06809,0.440145,0,1.75982,-0.190552391,0,0.297917758,-0.446260977,0,1.063675595
安徽省分公司,短期险,357.366285,27.302731,139.376257,697.032497,0,20.165606,0.110174255,-0.840371281,0.621581281,-0.028932787,-1,-0.693555534,7.463224,0.850425,2.7799,18.60263,0,0.8388,0.345258301,1.83475,1.173155097,-0.12757513,0,0.677264547,7.463224,0.850425,2.7799,18.60263,0,0.8388,0.345258301,1.83475,1.173155097,-0.12757513,0,0.677264547
