,,,当年,当年,当年,当年,当年,当年,当年,当年,当日,当日,当日,当日,当日,当日,当日,当日,当月,当月,当月,当月,当月,当月,当月,当月
,,,保费合计,保费合计,保费合计,保费合计,同比增速,同比增速,同比增速,同比增速,保费合计,保费合计,保费合计,保费合计,同比增速,同比增速,同比增速,同比增速,保费合计,保费合计,保费合计,保费合计,同比增速,同比增速,同比增速,同比增速
,,,中短存续期产品,其他长险趸交,短期险,长险趸交,中短存续期产品,其他长险趸交,短期险,长险趸交,中短存续期产品,其他长险趸交,短期险,长险趸交,中短存续期产品,其他长险趸交,短期险,长险趸交,中短存续期产品,其他长险趸交,短期险,长险趸交,中短存续期产品,其他长险趸交,短期险,长险趸交
大个险,个险渠道,北京市分公司,13.9062,1082.406012,399.979004,1096.312212,-0.804953925,-0.164854158,1.066813363,-0.198230165,0,3.844362,28.1847,3.844362,0,0.788557844,7.686517401,0.788557844,0,3.844362,28.1847,3.844362,0,0.788557844,7.686517401,0.788557844
大个险,个险渠道,安徽省分公司,19.1444,603.676919,357.366285,622.821319,-0.782523398,-0.259155806,0.110174255,-0.310183523,0,7.63815,7.463224,7.63815,0,-0.190552391,0.345258301,-0.190552391,0,7.63815,7.463224,7.63815,0,-0.190552391,0.345258301,-0.190552391
大个险,个险渠道,河北省分公司,386.43176,2305.402869,739.597979,2691.834629,-0.787009145,-0.085132281,0.373666203,-0.378937596,0.11,32.73342,13.920024,32.84342,0,-0.2082901,0.773545173,-0.207737409,0.11,32.73342,13.920024,32.84342,0,-0.2082901,0.773545173,-0.207737409
大个险,个险渠道,河南省分公司,35.1505,1316.414311,650.327459,1351.564811,-0.862845836,0.127516282,0.691567852,-0.050746908,0,11.278554,9.647288,11.278554,0,0.304673493,1.102554614,0.304673493,0,11.278554,9.647288,11.278554,0,0.304673493,1.102554614,0.304673493
大个险,个险渠道,湖北省分公司,14.443,1076.600925,501.641468,1091.043925,-0.724905194,-0.061895135,0.138447807,-0.090899593,0,21.773286,9.469991,21.773286,0,0.723055386,0.540574409,0.723055386,0,21.773286,9.469991,21.773286,0,0.723055386,0.540574409,0.723055386
大个险,个险渠道,湖南省分公司,154.30382,1044.173608,477.236898,1198.477428,-0.707954063,0.12187896,2.459893424,-0.178613675,0.374,8.73828,9.377189,9.11228,0,0.444584964,1.767280992,0.418697522,0.374,8.73828,9.377189,9.11228,0,0.444584964,1.767280992,0.418697522
大个险,个险渠道,福建省分公司,13.189,445.486662,230.481232,458.675662,-0.418807562,0.048804755,0.38325559,0.025089172,0,5.060891,2.1341,5.060891,0,1.474533417,-0.014591125,1.474533417,0,5.060891,2.1341,5.060891,0,1.474533417,-0.014591125,1.474533417
大个险,个险渠道,黑龙江分公司,0.66,1462.16761,771.732067,1462.82761,-0.945454545,0.109083925,0.181373098,0.099493293,0,20.7402,19.885892,20.7402,0,7.266650723,1.558670112,7.266650723,0,20.7402,19.885892,20.7402,0,7.266650723,1.558670112,7.266650723
大个险,互动渠道,北京市分公司,10.12,2872.688661,2205.525735,2882.808661,-0.993985572,-0.543588713,-0.27245949,-0.638596302,0,0.645716,13.806734,0.645716,0,321.858,4.473256954,321.858,0,0.645716,13.806734,0.645716,0,321.858,4.473256954,321.858
大个险,互动渠道,安徽省分公司,7.469,102.98872,27.302731,110.45772,-0.698436667,-0.798401529,-0.840371281,-0.793779125,0,0.002,0.850425,0.002,0,0,1.83475,0,0,0.002,0.850425,0.002,0,0,1.83475,0
