,,,,,当年,当日,当月
中短存续期产品,大个险,北京市分公司,个险渠道,保费合计,55.6248,0,3.582201505
中短存续期产品,大个险,北京市分公司,个险渠道,同比增速,-0.804953925,0,-0.764938204
中短存续期产品,大个险,北京市分公司,互动渠道,保费合计,40.48,0,2.900237843
中短存续期产品,大个险,北京市分公司,互动渠道,同比增速,-0.993985572,0,-0.769896252
中短存续期产品,大个险,北京市分公司,服务营销渠道,保费合计,634.2072,1.32,40.30521293
中短存续期产品,大个险,北京市分公司,服务营销渠道,同比增速,-0.265059504,0,-0.362787292
中短存续期产品,大个险,安徽省分公司,个险渠道,保费合计,76.5776,0,6.546612841
中短存续期产品,大个险,安徽省分公司,个险渠道,同比增速,-0.782523398,0,-0.792845283
中短存续期产品,大个险,安徽省分公司,互动渠道,保费合计,29.876,0,2.330203646
中短存续期产品,大个险,安徽省分公司,互动渠道,同比增速,-0.698436667,0,-0.68403231
中短存续期产品,大个险,安徽省分公司,服务营销渠道,保费合计,89.188,0,5.982340192
中短存续期产品,大个险,安徽省分公司,服务营销渠道,同比增速,-0.856677202,0,-0.780573429
中短存续期产品,大个险,河北省分公司,个险渠道,保费合计,1545.72704,0.11,119.9379149
中短存续期产品,大个险,河北省分公司,个险渠道,同比增速,-0.787009145,0,-0.753641712
中短存续期产品,大个险,河北省分公司,互动渠道,保费合计,338.7296,0,22.59981491
中短存续期产品,大个险,河北省分公司,互动渠道,同比增速,-0.798831359,0,-0.819347185
中短存续期产品,大个险,河北省分公司,服务营销渠道,保费合计,728.6092,0,57.70643009
中短存续期产品,大个险,河北省分公司,服务营销渠道,同比增速,-0.405556274,0,-0.490965848
中短存续期产品,大个险,河南省分公司,个险渠道,保费合计,140.602,0,10.56582955
中短存续期产品,大个险,河南省分公司,个险渠道,同比增速,-0.862845836,0,-0.776402216
中短存续期产品,大个险,河南省分公司,互动渠道,保费合计,5.28,0,0.502107809
中短存续期产品,大个险,河南省分公司,互动渠道,同比增速,-0.969241811,0,-0.742266349
中短存续期产品,大个险,河南省分公司,服务营销渠道,保费合计,677.58416,0,74.53130977
中短存续期产品,大个险,河南省分公司,服务营销渠道,同比增速,0.594017121,0,0.598592973
中短存续期产品,大个险,湖北省分公司,个险渠道,保费合计,57.772,0,3.834706843
中短存续期产品,大个险,湖北省分公司,个险渠道,同比增速,-0.724905194,0,-0.577969317
中短存续期产品,大个险,湖北省分公司,互动渠道,保费合计,50.16,0,4.074770793
中短存续期产品,大个险,湖北省分公司,互动渠道,同比增速,-0.854461892,0,-0.81664564
中短存续期产品,大个险,湖北省分公司,服务营销渠道,保费合计,230.7536,0,22.56885066
中短存续期产品,大个险,湖北省分公司,服务营销渠道,同比增速,-0.933371955,0,-1.131451602
中短存续期产品,大个险,湖南省分公司,个险渠道,保费合计,617.21528,0.374,50.12835392
中短存续期产品,大个险,湖南省分公司,个险渠道,同比增速,-0.707954063,0,-0.584924995
中短存续期产品,大个险,湖南省分公司,互动渠道,保费合计,69.99356,0,4.859057802
中短存续期产品,大个险,湖南省分公司,互动渠道,同比增速,-0.94414571,0,-0.982878392
