,,,,,当年,当日,当月
个险渠道,其他长险趸交,保费合计,上海市分公司,大个险,74.928466,0.07731,0.07731
个险渠道,其他长险趸交,保费合计,内蒙古分公司,大个险,1210.816243,24.60996,24.60996
个险渠道,其他长险趸交,保费合计,北京市分公司,大个险,1082.406012,3.844362,3.844362
个险渠道,其他长险趸交,保费合计,吉林省分公司,大个险,1018.173566,1.447,1.447
个险渠道,其他长险趸交,保费合计,天津市分公司,大个险,109.22113,0.75331,0.75331
个险渠道,其他长险趸交,保费合计,安徽省分公司,大个险,603.676919,7.63815,7.63815
个险渠道,其他长险趸交,保费合计,山东省分公司,大个险,1250.283585,6.74093,6.74093
个险渠道,其他长险趸交,保费合计,山西省分公司,大个险,1296.959267,7.483582,7.483582
个险渠道,其他长险趸交,保费合计,江苏省分公司,大个险,1131.853066,8.866692,8.866692
个险渠道,其他长险趸交,保费合计,江西省分公司,大个险,567.419173,3.6997,3.6997
个险渠道,其他长险趸交,保费合计,河北省分公司,大个险,2305.402869,32.73342,32.73342
个险渠道,其他长险趸交,保费合计,河南省分公司,大个险,1316.414311,11.278554,11.278554
个险渠道,其他长险趸交,保费合计,浙江省分公司,大个险,1414.322977,24.86586,24.86586
个险渠道,其他长险趸交,保费合计,湖北省分公司,大个险,1076.600925,21.773286,21.773286
个险渠道,其他长险趸交,保费合计,湖南省分公司,大个险,1044.173608,8.73828,8.73828
个险渠道,其他长险趸交,保费合计,福建省分公司,大个险,445.486662,5.060891,5.060891
个险渠道,其他长险趸交,保费合计,辽宁省分公司,大个险,492.01127,2.6588,2.6588
个险渠道,其他长险趸交,保费合计,黑龙江分公司,大个险,1462.16761,20.7402,20.7402
个险渠道,其他长险趸交,同比增速,上海市分公司,大个险,-0.507544516,-0.922098729,-0.922098729
个险渠道,其他长险趸交,同比增速,内蒙古分公司,大个险,0.008253623,3.576077174,3.576077174
个险渠道,其他长险趸交,同比增速,北京市分公司,大个险,-0.164854158,0.788557844,0.788557844
个险渠道,其他长险趸交,同比增速,吉林省分公司,大个险,0.170697212,0.13739978,0.13739978
个险渠道,其他长险趸交,同比增速,天津市分公司,大个险,-0.153670368,-0.079139417,-0.079139417
个险渠道,其他长险趸交,同比增速,安徽省分公司,大个险,-0.259155806,-0.190552391,-0.190552391
个险渠道,其他长险趸交,同比增速,山东省分公司,大个险,-0.027070253,-0.409200822,-0.409200822
个险渠道,其他长险趸交,同比增速,山西省分公司,大个险,-0.100875681,0.234549861,0.234549861
个险渠道,其他长险趸交,同比增速,江苏省分公司,大个险,-0.226258432,-0.57753315,-0.57753315
个险渠道,其他长险趸交,同比增速,江西省分公司,大个险,-0.221617753,-0.348662714,-0.348662714
个险渠道,其他长险趸交,同比增速,河北省分公司,大个险,-0.085132281,-0.2082901,-0.2082901
个险渠道,其他长险趸交,同比增速,河南省分公司,大个险,0.127516282,0.304673493,0.304673493
个险渠道,其他长险趸交,同比增速,浙江省分公司,大个险,-0.316254068,-0.175897467,-0.175897467
个险渠道,其他长险趸交,同比增速,湖北省分公司,大个险,-0.061895135,0.723055386,0.723055386
个险渠道,其他长险趸交,同比增速,湖南省分公司,大个险,0.12187896,0.444584964,0.444584964
